report_id,domaine,source_ip,count,disposition,dkim_eval,spf_eval,header_from,envelope_from,dkim_domaines,dkim_resultats,spf_domaines,spf_resultats,cle,dkim_diag
demo-googlecom-20260825-laiterie,laiterie.example,203.0.113.10,228,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,google.com|demo-googlecom-20260825-laiterie,DKIM valide
demo-googlecom-20260825-laiterie,laiterie.example,203.0.113.11,171,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,google.com|demo-googlecom-20260825-laiterie,DKIM valide
demo-googlecom-20260825-laiterie,laiterie.example,203.0.113.12,163,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,google.com|demo-googlecom-20260825-laiterie,DKIM valide
demo-googlecom-20260825-laiterie,laiterie.example,203.0.113.13,164,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,google.com|demo-googlecom-20260825-laiterie,DKIM valide
demo-googlecom-20260825-laiterie,laiterie.example,198.51.100.20,73,none,pass,fail,laiterie.example,bounce.lettre-pro.example,laiterie.example,pass,bounce.lettre-pro.example,pass,google.com|demo-googlecom-20260825-laiterie,DKIM valide
demo-googlecom-20260825-laiterie,laiterie.example,192.0.2.50,6,none,pass,fail,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,fail,google.com|demo-googlecom-20260825-laiterie,DKIM valide
demo-enterpriseoutlook-20260825-laiterie,laiterie.example,203.0.113.10,73,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,enterprise outlook|demo-enterpriseoutlook-20260825-laiterie,DKIM valide
demo-enterpriseoutlook-20260825-laiterie,laiterie.example,203.0.113.11,68,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,enterprise outlook|demo-enterpriseoutlook-20260825-laiterie,DKIM valide
demo-enterpriseoutlook-20260825-laiterie,laiterie.example,203.0.113.12,86,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,enterprise outlook|demo-enterpriseoutlook-20260825-laiterie,DKIM valide
demo-enterpriseoutlook-20260825-laiterie,laiterie.example,203.0.113.13,57,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,enterprise outlook|demo-enterpriseoutlook-20260825-laiterie,DKIM valide
demo-enterpriseoutlook-20260825-laiterie,laiterie.example,198.51.100.20,34,none,pass,fail,laiterie.example,bounce.lettre-pro.example,laiterie.example,pass,bounce.lettre-pro.example,pass,enterprise outlook|demo-enterpriseoutlook-20260825-laiterie,DKIM valide
demo-enterpriseoutlook-20260825-laiterie,laiterie.example,192.0.2.81,7,reject,fail,fail,laiterie.example,laiterie.example,laiterie.example,fail,laiterie.example,fail,enterprise outlook|demo-enterpriseoutlook-20260825-laiterie,DKIM cassé
demo-yahoo-20260825-laiterie,laiterie.example,203.0.113.10,28,none,pass,pass,laiterie.example,laiterie.example,laiterie.example,pass,laiterie.example,pass,yahoo|demo-yahoo-20260825-laiterie,DKIM valide
