report_id,org_name,org_email,date_debut,date_fin,domaine,adkim,aspf,p,sp,pct,fichier,traite_le,cle
demo-googlecom-20260825-laiterie,google.com,noreply-dmarc-support@google.com,2026-08-25 00:00:00,2026-08-25 23:59:59,laiterie.example,r,r,reject,reject,100,demo-googlecom-20260825-laiterie.xml,2026-08-26 05:59:59,google.com|demo-googlecom-20260825-laiterie
demo-enterpriseoutlook-20260825-laiterie,Enterprise Outlook,dmarcreport@microsoft.com,2026-08-25 00:00:00,2026-08-25 23:59:59,laiterie.example,r,r,reject,reject,100,demo-enterpriseoutlook-20260825-laiterie.xml,2026-08-26 05:59:59,enterprise outlook|demo-enterpriseoutlook-20260825-laiterie
demo-yahoo-20260825-laiterie,Yahoo,dmarchelp@yahooinc.com,2026-08-25 00:00:00,2026-08-25 23:59:59,laiterie.example,r,r,reject,reject,100,demo-yahoo-20260825-laiterie.xml,2026-08-26 05:59:59,yahoo|demo-yahoo-20260825-laiterie
demo-mimecast-20260825-laiterie,Mimecast,dmarc-report@mimecast.com,2026-08-25 00:00:00,2026-08-25 23:59:59,laiterie.example,r,r,reject,reject,100,demo-mimecast-20260825-laiterie.xml,2026-08-26 05:59:59,mimecast|demo-mimecast-20260825-laiterie
demo-amazonses-20260825-laiterie,AMAZON-SES,postmaster@amazonses.com,2026-08-25 00:00:00,2026-08-25 23:59:59,laiterie.example,r,r,reject,reject,100,demo-amazonses-20260825-laiterie.xml,2026-08-26 05:59:59,amazon-ses|demo-amazonses-20260825-laiterie
demo-googlecom-20260825-boutique-laiterie,google.com,noreply-dmarc-support@google.com,2026-08-25 00:00:00,2026-08-25 23:59:59,boutique-laiterie.example,r,r,quarantine,quarantine,100,demo-googlecom-20260825-boutique-laiterie.xml,2026-08-26 05:59:59,google.com|demo-googlecom-20260825-boutique-laiterie
demo-enterpriseoutlook-20260825-boutique-laiterie,Enterprise Outlook,dmarcreport@microsoft.com,2026-08-25 00:00:00,2026-08-25 23:59:59,boutique-laiterie.example,r,r,quarantine,quarantine,100,demo-enterpriseoutlook-20260825-boutique-laiterie.xml,2026-08-26 05:59:59,enterprise outlook|demo-enterpriseoutlook-20260825-boutique-laiterie
demo-yahoo-20260825-boutique-laiterie,Yahoo,dmarchelp@yahooinc.com,2026-08-25 00:00:00,2026-08-25 23:59:59,boutique-laiterie.example,r,r,quarantine,quarantine,100,demo-yahoo-20260825-boutique-laiterie.xml,2026-08-26 05:59:59,yahoo|demo-yahoo-20260825-boutique-laiterie
demo-amazonses-20260825-boutique-laiterie,AMAZON-SES,postmaster@amazonses.com,2026-08-25 00:00:00,2026-08-25 23:59:59,boutique-laiterie.example,r,r,quarantine,quarantine,100,demo-amazonses-20260825-boutique-laiterie.xml,2026-08-26 05:59:59,amazon-ses|demo-amazonses-20260825-boutique-laiterie
demo-googlecom-20260826-laiterie,google.com,noreply-dmarc-support@google.com,2026-08-26 00:00:00,2026-08-26 23:59:59,laiterie.example,r,r,reject,reject,100,demo-googlecom-20260826-laiterie.xml,2026-08-27 03:59:59,google.com|demo-googlecom-20260826-laiterie
